Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Year,Month,Day of Week,Closure Time (Days)
1,2020-01-02 00:00:00,2020-01-01 00:00:00,01:11:00,Ahmedabad,576,IDENTITY THEFT,16,M,Blunt Object,Violent Crime,13,No,,2020,1,Wednesday,0
2,2020-01-01 19:00:00,2020-01-01 01:00:00,06:26:00,Chennai,128,HOMICIDE,37,M,Poison,Other Crime,9,No,,2020,1,Wednesday,0
3,2020-01-02 05:00:00,2020-01-01 02:00:00,14:30:00,Ludhiana,271,KIDNAPPING,48,F,Blunt Object,Other Crime,15,No,,2020,1,Wednesday,0
4,2020-01-01 05:00:00,2020-01-01 03:00:00,14:46:00,Pune,170,BURGLARY,49,F,Firearm,Other Crime,1,Yes,2020-04-29 05:00:00,2020,1,Wednesday,119
5,2020-01-01 21:00:00,2020-01-01 04:00:00,16:51:00,Pune,421,VANDALISM,30,F,Other,Other Crime,18,Yes,2020-01-08 21:00:00,2020,1,Wednesday,7
6,2020-01-02 03:00:00,2020-01-01 05:00:00,17:09:00,Delhi,442,ASSAULT,16,M,Firearm,Violent Crime,18,Yes,2020-03-30 03:00:00,2020,1,Wednesday,88
7,2020-01-01 16:00:00,2020-01-01 06:00:00,14:08:00,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,13,Yes,2020-03-24 16:00:00,2020,1,Wednesday,83
8,2020-01-02 10:00:00,2020-01-01 07:00:00,06:33:00,Chennai,169,COUNTERFEITING,78,X,Knife,Other Crime,8,No,,2020,1,Wednesday,0
9,2020-01-04 03:00:00,2020-01-01 08:00:00,06:34:00,Mumbai,338,EXTORTION,41,X,Blunt Object,Other Crime,1,No,,2020,1,Wednesday,0
10,2020-01-03 07:00:00,2020-01-01 09:00:00,17:50:00,Chennai,497,PUBLIC INTOXICATION,29,M,Knife,Other Crime,4,No,,2020,1,Wednesday,0
11,2020-01-02 13:00:00,2020-01-01 10:00:00,19:42:00,Delhi,260,FRAUD,71,M,Explosives,Other Crime,5,Yes,2020-02-01 13:00:00,2020,1,Wednesday,31
12,2020-01-03 09:00:00,2020-01-01 11:00:00,22:16:00,Surat,563,IDENTITY THEFT,26,M,Poison,Violent Crime,3,No,,2020,1,Wednesday,0
13,2020-01-01 16:00:00,2020-01-01 12:00:00,23:14:00,Visakhapatnam,498,FRAUD,36,F,Poison,Other Crime,3,Yes,2020-02-29 16:00:00,2020,1,Wednesday,59
14,2020-01-02 22:00:00,2020-01-01 13:00:00,17:46:00,Mumbai,436,ASSAULT,32,X,Unknown,Violent Crime,18,No,,2020,1,Wednesday,0
15,2020-01-02 00:00:00,2020-01-01 14:00:00,22:28:00,Bangalore,266,SEXUAL ASSAULT,77,F,Unknown,Violent Crime,19,No,,2020,1,Wednesday,0
