Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
100001,26-09-2025 05:36,25-09-2025 01:36,25-09-2025 01:36,Meerut,409,ROBBERY,20,M,Other,Traffic Fatality,4,Yes,29-10-2025 05:36
100002,22-02-2025 22:04,22-02-2025 19:04,22-02-2025 19:04,Ahmedabad,480,CYBERCRIME,15,M,Poison,Violent Crime,9,No,
100003,13-01-2025 08:20,13-01-2025 04:20,13-01-2025 04:20,Varanasi,597,HOMICIDE,16,F,Knife,Violent Crime,5,No,
100004,14-06-2025 15:17,14-06-2025 05:17,14-06-2025 05:17,Agra,121,ASSAULT,75,M,Explosives,Traffic Fatality,24,No,
100005,29-04-2025 20:30,27-04-2025 23:30,27-04-2025 23:30,Kolkata,473,KIDNAPPING,11,M,Poison,Fire Accident,15,Yes,26-07-2025 20:30
100006,21-09-2025 16:34,19-09-2025 22:34,19-09-2025 22:34,Meerut,358,COUNTERFEITING,80,M,Knife,Fire Accident,14,No,
100007,08-08-2025 07:37,06-08-2025 17:37,06-08-2025 17:37,Chennai,164,ROBBERY,69,F,Poison,Violent Crime,4,No,
100008,02-12-2025 17:03,02-12-2025 03:03,02-12-2025 03:03,Chennai,297,DRUG OFFENSE,62,M,Knife,Fire Accident,2,No,
100009,23-05-2025 09:32,20-05-2025 10:32,20-05-2025 10:32,Jaipur,154,HOMICIDE,26,F,Blunt Object,Violent Crime,16,No,
100010,11-11-2025 19:06,08-11-2025 23:06,08-11-2025 23:06,Kanpur,369,HOMICIDE,61,F,Firearm,Fire Accident,2,Yes,08-02-2026 19:06
100011,10-02-2025 14:08,09-02-2025 10:08,09-02-2025 10:08,Indore,458,EXTORTION,49,F,None,Violent Crime,12,Yes,30-04-2025 14:08
100012,24-06-2025 18:21,23-06-2025 22:21,23-06-2025 22:21,Delhi,228,DRUG OFFENSE,80,F,Firearm,Other Crime,2,No,
100013,26-11-2025 19:00,25-11-2025 01:00,25-11-2025 01:00,Nashik,240,TRAFFIC VIOLATION,55,F,Explosives,Violent Crime,4,No,
100014,23-08-2025 13:55,23-08-2025 00:55,23-08-2025 00:55,Kolkata,254,CYBERCRIME,63,M,Knife,Other Crime,16,No,
100015,07-09-2025 03:10,07-09-2025 00:10,07-09-2025 00:10,Srinagar,220,VEHICLE - STOLEN,26,F,Poison,Fire Accident,26,No,
100016,16-06-2025 19:47,16-06-2025 06:47,16-06-2025 06:47,Meerut,140,EXTORTION,71,F,None,Other Crime,14,Yes,24-06-2025 19:47
100017,07-09-2025 17:33,07-09-2025 02:33,07-09-2025 02:33,Nagpur,151,PUBLIC INTOXICATION,10,M,Poison,Other Crime,16,No,
100018,09-10-2025 23:13,09-10-2025 12:13,09-10-2025 12:13,Vasai,345,ILLEGAL POSSESSION,12,M,Blunt Object,Violent Crime,7,No,
100019,24-11-2025 20:02,23-11-2025 05:02,23-11-2025 05:02,Rajkot,590,IDENTITY THEFT,22,M,Other,Fire Accident,4,No,
100020,30-12-2025 11:36,27-12-2025 19:36,27-12-2025 19:36,Surat,313,CYBERCRIME,63,M,None,Traffic Fatality,21,Yes,16-02-2026 11:36
100021,12-10-2025 01:26,09-10-2025 20:26,09-10-2025 20:26,Jaipur,349,SEXUAL ASSAULT,73,F,None,Other Crime,20,Yes,30-10-2025 01:26
100022,05-06-2025 20:25,03-06-2025 14:25,03-06-2025 14:25,Indore,279,VEHICLE - STOLEN,51,M,Knife,Fire Accident,14,Yes,20-06-2025 20:25
100023,25-11-2025 01:37,24-11-2025 08:37,24-11-2025 08:37,Pune,507,PUBLIC INTOXICATION,72,F,Knife,Other Crime,14,Yes,14-12-2025 01:37
100024,28-11-2025 00:49,26-11-2025 13:49,26-11-2025 13:49,Kalyan,386,BURGLARY,70,M,Other,Fire Accident,3,Yes,20-01-2026 00:49
100025,25-10-2025 01:10,24-10-2025 21:10,24-10-2025 21:10,Patna,398,ILLEGAL POSSESSION,46,M,Poison,Other Crime,26,Yes,18-01-2026 01:10
100026,01-03-2025 02:11,26-02-2025 08:11,26-02-2025 08:11,Surat,398,BURGLARY,72,F,Explosives,Fire Accident,26,No,
100027,16-10-2025 21:10,14-10-2025 01:10,14-10-2025 01:10,Nashik,506,VEHICLE - STOLEN,78,F,Other,Violent Crime,25,No,
100028,21-02-2025 08:33,20-02-2025 14:33,20-02-2025 14:33,Patna,436,ASSAULT,31,M,Firearm,Traffic Fatality,26,No,
100029,07-06-2025 14:31,06-06-2025 04:31,06-06-2025 04:31,Srinagar,121,IDENTITY THEFT,73,M,Poison,Traffic Fatality,3,No,
100030,15-07-2025 13:11,13-07-2025 23:11,13-07-2025 23:11,Mumbai,229,PUBLIC INTOXICATION,63,F,Knife,Other Crime,15,No,
100031,06-04-2025 08:40,06-04-2025 06:40,06-04-2025 06:40,Bhopal,381,CYBERCRIME,41,F,Explosives,Fire Accident,23,No,
100032,16-02-2025 08:56,13-02-2025 12:56,13-02-2025 12:56,Ahmedabad,445,FRAUD,39,M,Explosives,Violent Crime,6,Yes,10-05-2025 08:56
100033,25-11-2025 20:42,24-11-2025 17:42,24-11-2025 17:42,Bangalore,284,CYBERCRIME,59,M,Firearm,Fire Accident,12,Yes,22-01-2026 20:42
100034,13-10-2025 23:42,13-10-2025 23:42,13-10-2025 23:42,Kalyan,316,TRAFFIC VIOLATION,21,M,None,Violent Crime,5,Yes,14-12-2025 23:42
100035,20-05-2025 06:07,17-05-2025 07:07,17-05-2025 07:07,Ludhiana,265,SEXUAL ASSAULT,35,F,Firearm,Traffic Fatality,14,Yes,30-05-2025 06:07
100036,10-05-2025 02:46,07-05-2025 10:46,07-05-2025 10:46,Srinagar,566,DOMESTIC VIOLENCE,39,M,Firearm,Violent Crime,27,Yes,18-05-2025 02:46
100037,07-05-2025 07:24,06-05-2025 00:24,06-05-2025 00:24,Vasai,353,IDENTITY THEFT,40,F,Firearm,Fire Accident,22,Yes,28-07-2025 07:24
100038,25-01-2025 01:34,22-01-2025 21:34,22-01-2025 21:34,Visakhapatnam,331,KIDNAPPING,76,M,Knife,Fire Accident,25,Yes,29-03-2025 01:34
100039,20-03-2025 16:13,18-03-2025 16:13,18-03-2025 16:13,Surat,230,HOMICIDE,74,M,None,Violent Crime,1,No,
100040,08-01-2025 11:15,07-01-2025 08:15,07-01-2025 08:15,Thane,552,TRAFFIC VIOLATION,16,M,Blunt Object,Fire Accident,6,Yes,25-03-2025 11:15
100041,06-05-2025 19:53,05-05-2025 00:53,05-05-2025 00:53,Jaipur,456,FIREARM OFFENSE,53,F,Firearm,Violent Crime,18,Yes,07-05-2025 19:53
100042,04-06-2025 21:53,04-06-2025 04:53,04-06-2025 04:53,Meerut,226,HOMICIDE,16,M,Other,Traffic Fatality,13,No,
100043,10-09-2025 12:40,10-09-2025 07:40,10-09-2025 07:40,Varanasi,506,BURGLARY,57,M,Blunt Object,Fire Accident,18,Yes,19-09-2025 12:40
100044,14-06-2025 00:02,12-06-2025 14:02,12-06-2025 14:02,Kanpur,393,PUBLIC INTOXICATION,10,M,Explosives,Violent Crime,25,No,
100045,15-05-2025 21:48,12-05-2025 21:48,12-05-2025 21:48,Agra,423,CYBERCRIME,60,F,Other,Other Crime,30,Yes,27-06-2025 21:48
100046,23-10-2025 02:44,21-10-2025 02:44,21-10-2025 02:44,Rajkot,476,DOMESTIC VIOLENCE,36,M,Firearm,Fire Accident,25,No,
100047,04-11-2025 07:29,01-11-2025 10:29,01-11-2025 10:29,Chennai,114,FIREARM OFFENSE,33,F,Blunt Object,Traffic Fatality,20,Yes,17-01-2026 07:29
100048,14-03-2025 16:46,12-03-2025 23:46,12-03-2025 23:46,Varanasi,235,PUBLIC INTOXICATION,52,F,Poison,Other Crime,24,No,
100049,23-01-2025 00:15,22-01-2025 03:15,22-01-2025 03:15,Thane,108,ROBBERY,64,M,Poison,Violent Crime,20,No,
100050,18-04-2025 07:00,17-04-2025 00:00,17-04-2025 00:00,Rajkot,201,DRUG OFFENSE,27,F,Explosives,Other Crime,1,No,
